symbol_id,ts,open,high,low,close,volume
1,2022-01-03 16:00:00,175.73,176.82,175.28,175.3,12226528
1,2022-01-04 16:00:00,168.15,172.51,167.58,171.8,3851987
1,2022-01-05 16:00:00,169.64,169.85,169.22,169.23,2890182
1,2022-01-06 16:00:00,176.88,179.24,172.76,175.66,538877
1,2022-01-07 16:00:00,179.17,181.24,174.89,178.0,2012821
1,2022-01-10 16:00:00,175.08,175.76,172.27,173.05,174632
1,2022-01-11 16:00:00,174.49,176.56,173.2,175.13,3757037
1,2022-01-12 16:00:00,181.7,181.99,179.3,179.37,5207094
1,2022-01-13 16:00:00,173.64,177.68,172.8,173.35,5516182
1,2022-01-14 16:00:00,174.94,175.34,170.26,171.62,9409962
1,2022-01-17 16:00:00,169.09,170.02,166.19,168.04,41976471
1,2022-01-18 16:00:00,165.67,167.72,163.14,165.49,102780
1,2022-01-19 16:00:00,165.82,165.85,164.52,165.43,3529740
1,2022-01-20 16:00:00,160.09,162.18,159.81,160.44,1116808
1,2022-01-21 16:00:00,163.29,164.4,160.14,162.59,2021011
1,2022-01-24 16:00:00,162.56,164.3,162.46,162.81,2311326
1,2022-01-25 16:00:00,165.63,166.8,165.17,165.56,1360011
1,2022-01-26 16:00:00,160.12,160.61,159.64,159.93,1919131
1,2022-01-27 16:00:00,156.51,160.36,155.65,156.53,2920411
1,2022-01-28 16:00:00,152.57,154.3,151.36,151.65,8123793
1,2022-01-31 16:00:00,147.47,149.23,147.26,148.77,1264403
1,2022-02-01 16:00:00,146.75,147.73,145.35,147.47,408023503
1,2022-02-02 16:00:00,147.53,148.74,145.18,146.37,5457916
1,2022-02-03 16:00:00,150.61,151.71,150.35,150.35,1926661
1,2022-02-04 16:00:00,151.83,155.99,150.98,152.81,18925924
1,2022-02-07 16:00:00,147.83,148.81,146.16,147.56,8785460
1,2022-02-08 16:00:00,150.66,151.17,149.47,149.53,17531844
1,2022-02-09 16:00:00,150.72,153.17,148.98,152.81,138538354
1,2022-02-10 16:00:00,152.66,154.5,150.29,152.58,83315
1,2022-02-11 16:00:00,149.38,152.06,147.61,150.66,57020
1,2022-02-14 16:00:00,155.34,156.42,153.18,155.0,1630134
1,2022-02-15 16:00:00,158.8,159.31,156.44,156.89,278363
1,2022-02-16 16:00:00,156.33,158.11,155.84,157.18,65189
1,2022-02-17 16:00:00,154.9,157.61,152.51,155.12,5817131
1,2022-02-18 16:00:00,153.64,156.92,153.21,154.88,3133295
1,2022-02-21 16:00:00,151.85,152.39,150.68,151.0,4780880
1,2022-02-22 16:00:00,157.08,158.37,149.77,154.23,1874348
1,2022-02-23 16:00:00,153.27,153.97,151.82,153.61,2056138
1,2022-02-24 16:00:00,148.28,149.84,147.76,149.68,2351344
1,2022-02-25 16:00:00,147.03,147.28,144.76,146.49,114229
1,2022-02-28 16:00:00,143.63,147.12,143.44,145.43,12440405
1,2022-03-01 16:00:00,142.05,142.8,141.92,142.51,3923748
1,2022-03-02 16:00:00,135.47,140.77,134.08,137.6,486306
1,2022-03-03 16:00:00,130.16,131.35,128.94,129.92,24841560
1,2022-03-04 16:00:00,127.65,130.2,126.89,129.9,251168
1,2022-03-07 16:00:00,132.55,134.89,132.32,132.99,7361032
1,2022-03-08 16:00:00,132.49,133.28,131.78,131.82,13476977
1,2022-03-09 16:00:00,130.73,132.18,127.56,130.32,585869
1,2022-03-10 16:00:00,132.51,133.88,128.36,131.39,2198306
1,2022-03-11 16:00:00,131.04,131.09,129.53,130.59,967503
1,2022-03-14 16:00:00,131.02,131.24,130.19,130.62,739434
1,2022-03-15 16:00:00,132.7,133.01,132.45,132.77,3080877
1,2022-03-16 16:00:00,133.04,133.18,132.38,133.04,6342262
1,2022-03-17 16:00:00,134.11,135.04,132.85,133.8,388727
1,2022-03-18 16:00:00,136.34,136.36,133.55,134.39,19063472
1,2022-03-21 16:00:00,137.02,137.6,134.98,135.21,49121
1,2022-03-22 16:00:00,133.47,134.27,132.03,133.08,3551361
1,2022-03-23 16:00:00,126.9,127.47,124.28,127.29,716225
1,2022-03-24 16:00:00,130.66,131.07,126.73,127.89,16447934
1,2022-03-25 16:00:00,123.49,125.26,123.4,125.08,2554575
1,2022-03-28 16:00:00,123.27,124.19,122.82,123.83,2771958
1,2022-03-29 16:00:00,125.02,125.58,123.77,124.93,70524
1,2022-03-30 16:00:00,123.41,124.0,121.49,122.83,3760246
1,2022-03-31 16:00:00,121.52,122.32,118.0,119.75,7203269
